'OBJECTID','OID','4'
'Shape','Geometry','0'
'SHIELD','String','1'
'HWY_NUM','String','10'
'STATE','String','2'
'WEB_ID','String','5'
'Name','String','254'
'Type','String','254'
'Owner','String','254'
'section_miles','Double','8'
'Shield_id','Double','8'
'DIR_1','String','254'
'CAP_1','Double','8'
'ACT_1A','String','254'
'ACT_1B','String','254'
'DEVICE_1','String','254'
'DIR_2','String','254'
'CAP_2','Double','8'
'ACT_2A','String','254'
'ACT_2B','String','254'
'DEVICE_2','String','254'
'YEAR','Double','8'
'SOURCE','String','254'
'SHLD_ID','String','10'
'GIS_MILES','Double','8'
'Shape_Length','Double','8'
