id,db_name,familiar_name,state,lon,lat
0,Puerto Rico,Puerto Rico,PA,-94.9421375,48.18620457
1,"Aberdeen, SD","Aberdeen, SD",PA,-100.2318614,45.43670651
2,"Abilene, TX","Abilene, TX",PA,-100.1379834,32.77385707
3,"Albany, GA","Albany, GA",PA,-83.75789247,31.36418164
4,"Albany-Schenectady-Amsterdam, NY","Albany, NY",PA,-73.90397937,42.99041558
5,"Albuquerque, NM","Albuquerque, NM",PA,-106.9585022,34.71648119
6,"Alpena, MI","Alpena, MI",PA,-84.44087617,45.04420828
7,"Amarillo, TX","Amarillo, TX",PA,-102.5038384,35.3727726
8,"Anchorage, AK","Anchorage, AK",PA,-152.1905577,64.21076607
9,"Appleton-Oshkosh-Neenah, WI","Appleton, WI",PA,-88.45252036,44.5701475
10,"Asheville-Brevard, NC","Asheville, NC",PA,-82.61485804,35.69066324
11,"Atlanta-Sandy Springs-Gainesville, GA-AL","Atlanta-Gainesville, GA-AL",PA,-84.40744412,34.15754107
12,"Augusta-Richmond County, GA-SC","Augusta, GA",PA,-81.97333437,33.35677591
13,"Austin-Round Rock, TX","Austin, TX",PA,-97.90803606,30.46804552
14,"Bangor, ME","Bangor, ME",PA,-68.60282146,45.83234684
15,"Baton Rouge-Pierre Part, LA","Baton Rouge, LA",PA,-91.15006109,30.59943862
16,"Beaumont-Port Arthur, TX","Beaumont, TX",PA,-94.11854046,30.47388761
17,"Bend-Prineville, OR","Bend, OR",PA,-119.9875844,43.31041782
18,"Billings, MT","Billings, MT",PA,-107.0878768,46.37196311
19,"Birmingham-Hoover-Cullman, AL","Birmingham, AL",PA,-87.11287989,33.50184455
20,"Bismarck, ND","Bismarck, ND",PA,-101.8302728,46.5675673
21,"Boise City-Nampa, ID","Boise City, ID",PA,-116.51898,43.47675784
22,"Boston-Worcester-Manchester, MA-NH","Boston, MA",PA,-71.68903981,43.18867247
23,"Buffalo-Niagara-Cattaraugus, NY","Buffalo, NY",PA,-78.56690111,42.26056516
24,"Burlington-South Burlington, VT","Burlington, VT",PA,-72.71052496,44.50268633
