stcc4,region,mode,ton,value,dir
100,34005,Air,258.292456,2309257.44,in
112,34005,Truck,353.4208763,667231.9988,in
113,34005,Truck,150521.5941,19768139.32,in
114,34005,Truck,4846.123648,1073098.624,in
115,34005,Truck,649.157166,1228788.307,in
119,34005,Truck,19691.79566,10741684.74,in
121,34005,Truck,21546.74037,16392264.03,in
122,34005,Truck,23913.72108,27212188.77,in
123,34005,Truck,11708.15887,20273010.4,in
129,34005,Truck,18933.7556,42415107.04,in
131,34005,Truck,5137.46443,5980603.766,in
133,34005,Truck,12388.57172,14630362.02,in
134,34005,Truck,117.4605791,232845.9832,in
139,34005,Truck,16718.85499,22594306.12,in
141,34005,Truck,4287.643978,7612382.29,in
142,34005,Truck,356011.1219,306466949.3,in
152,34005,Truck,1966.530002,1471561.7,in
191,34005,Truck,669.8209483,2167698.891,in
192,34005,Truck,198.3602721,316328.6924,in
842,34005,Truck,393.0061452,794196.9244,in
861,34005,Truck,200.7718102,187965.6449,in
912,34005,Truck,803.5709271,5766186.341,in
913,34005,Truck,170.6297157,483367.9113,in
1411,34005,Truck,8469.83055,1557121.3,in
1421,34005,Truck,914211.3357,8218759.716,in
1441,34005,Truck,533051.6485,4104497.595,in
1451,34005,Truck,8214.709444,421003.8631,in
1471,34005,Truck,82444.7015,5358905.75,in
1491,34005,Truck,77454.17771,2801494.117,in
1911,34005,Truck,31.8950878,1382060.908,in
1929,34005,Truck,369.81345,4567102.8,in
1931,34005,Truck,657.4852609,15446763.54,in
1951,34005,Truck,191.6283139,7812983.557,in
1961,34005,Truck,25.367262,508820.6066,in
2011,34005,Truck,11593.40061,37070056.89,in
2012,34005,Truck,10154.20106,32787013.33,in
2013,34005,Truck,12783.47413,41367394.19,in
2014,34005,Truck,6837.325332,3169485.789,in
2015,34005,Truck,10750.47694,33940355.12,in
2016,34005,Truck,6016.006977,16749864.95,in
2017,34005,Truck,15911.19758,45687421.5,in
2021,34005,Rail,1080,798752.69,in
2021,34005,Truck,335.1858797,218257.7673,in
2023,34005,Truck,2680.199941,3818457.492,in
2024,34005,Truck,3798.925733,4818410.55,in
2025,34005,Rail,6400,18656358,in
2025,34005,Truck,1946.6776,4989453.533,in
2026,34005,Truck,25327.02942,22413918.2,in
2031,34005,Truck,3358.330106,1940976.654,in
2032,34005,Truck,8537.488087,11179704.46,in
2033,34005,Truck,46258.38755,36620067.13,in
2034,34005,Truck,10286.84099,8965586.622,in
2035,34005,Truck,3064.282523,2556522.211,in
2036,34005,Truck,7319.612702,15444100.78,in
2037,34005,Truck,15337.82344,15124822.65,in
2038,34005,Truck,20784.59674,39834268.35,in
2039,34005,Truck,10102.37702,17653137,in
2041,34005,Truck,40134.32564,15484638.1,in
2042,34005,Truck,63175.0271,11462463.56,in
2043,34005,Truck,21801.05588,29966929.97,in
2044,34005,Truck,10271.17342,4835714.424,in
2045,34005,Truck,9340.33016,8988024.794,in
2047,34005,Truck,34893.03425,12608188.31,in
2051,34005,Truck,59910.18947,146033178,in
2052,34005,Truck,9591.779578,22062010.86,in
2061,34005,Truck,2552.896881,1340289.257,in
2062,34005,Truck,1923.114624,808432.1766,in
2071,34005,Truck,13673.85675,32164717.14,in
2082,34005,Truck,38337.25695,35190492.13,in
2083,34005,Truck,1469.660973,730893.8947,in
2084,34005,Rail,3080,6318454,in
2084,34005,Truck,12682.71451,25929986.73,in
2085,34005,Truck,25311.81842,27804405.42,in
2086,34005,Truck,122194.5854,73708350.82,in
2087,34005,Truck,6179.41014,9069918.18,in
2091,34005,Truck,1102.161481,421482.7286,in
2093,34005,Truck,20775.22655,9444382.015,in
2094,34005,Truck,690.4882653,2404184.71,in
2095,34005,Truck,2020.083088,7839236.373,in
2096,34005,Truck,4031.752449,4162230.761,in
2097,34005,Truck,13421.61927,5982908.003,in
2098,34005,Truck,1999.216481,3258747.007,in
2099,34005,Rail,3320,4067048.8,in
2099,34005,Truck,88964.33384,100570281.5,in
2111,34005,Truck,1615.447413,33371760.8,in
2121,34005,Truck,1158.061937,18368613.21,in
2131,34005,Truck,459.8306038,7289962.956,in
2141,34005,Truck,1371.011945,12509756.08,in
2211,34005,Truck,911.9673465,5963161.788,in
2221,34005,Truck,386.5847728,2241715.828,in
2222,34005,Truck,230.6250751,1620006.359,in
2231,34005,Truck,213.6640071,1614562.936,in
2241,34005,Truck,572.1219794,2446439.348,in
2251,34005,Truck,195.6059548,2156266.905,in
2271,34005,Truck,1173.610205,4235099.891,in
2272,34005,Truck,663.7630724,2395261.079,in
2279,34005,Truck,642.5412152,2211434.104,in
2281,34005,Truck,332.3281473,1576453.245,in
2284,34005,Truck,35.24959191,169049.9019,in
2291,34005,Truck,273.3212606,1592498.014,in
2292,34005,Truck,16.3222422,102109.695,in
2293,34005,Truck,489.6384792,2609973.69,in
2294,34005,Truck,574.7498205,2322698.028,in
2295,34005,Truck,218.0727496,1371868.434,in
2296,34005,Truck,296.9557134,802811.2239,in
2297,34005,Truck,956.435154,1673322.934,in
2298,34005,Truck,301.7222815,1817826.37,in
2299,34005,Truck,1356.742941,7033373.995,in
2311,34005,Truck,2982.160567,37769928.02,in
2331,34005,Truck,4718.151305,66210771.22,in
2351,34005,Truck,5.54161235,58429.5807,in
2352,34005,Truck,152.7049175,1492348.918,in
2371,34005,Truck,2.95755494,15703.3483,in
2381,34005,Truck,128.2066743,1154424.86,in
2384,34005,Truck,10.14157876,223089.5376,in
2385,34005,Truck,138.2794375,1678840.085,in
2386,34005,Truck,12.33332,187273.8489,in
2387,34005,Truck,5.78622427,16066.96767,in
2389,34005,Truck,755.6873773,4138603.206,in
2391,34005,Truck,1086.036752,3669545.08,in
2392,34005,Truck,3184.523341,13169263.68,in
2393,34005,Truck,373.7623124,2013327.986,in
2394,34005,Truck,1190.43991,5954808.919,in
2395,34005,Truck,494.6971676,2798357.223,in
2396,34005,Truck,102.3851112,560621.9776,in
2411,34005,Truck,20627.61183,2568190.092,in
2421,34005,Rail,68920,7665492.95,in
2429,34005,Truck,20892.83371,12120892.67,in
2431,34005,Truck,7142.305202,7962479.432,in
2432,34005,Rail,10200,7423650,in
2433,34005,Truck,2247.334978,3428242.516,in
2434,34005,Truck,4881.296922,21388594.34,in
2439,34005,Truck,3871.505874,6436737.214,in
2441,34005,Truck,25536.83131,18607484.68,in
2491,34005,Rail,10200,4956553.8,in
2492,34005,Truck,763.4649545,513716.5312,in
2493,34005,Truck,607.0487804,413249.9357,in
2494,34005,Truck,3604.103392,2486953.613,in
2495,34005,Truck,473.6914992,355775.1312,in
2496,34005,Truck,594.0037879,404369.5346,in
2497,34005,Truck,4039.292451,2749758.156,in
2498,34005,Truck,19622.11658,13357803.82,in
2499,34005,Rail,10800,5768977.9,in
2511,34005,Truck,2756.090246,5173096.315,in
2512,34005,Truck,1708.941417,8091599.896,in
2513,34005,Truck,3124.798344,13926649.57,in
2514,34005,Truck,722.1368788,3302201.479,in
2515,34005,Truck,1085.57013,5177564.786,in
2516,34005,Truck,1416.839003,6378737.933,in
2517,34005,Truck,55.29573164,343165.4481,in
2518,34005,Truck,1893.940299,8553769.634,in
2519,34005,Truck,3511.963547,16040497.36,in
2531,34005,Truck,1865.789295,10787539.17,in
2541,34005,Truck,1281.812999,4755713.736,in
2542,34005,Truck,1307.386534,4990904.672,in
2591,34005,Truck,1137.434257,3840732.916,in
2599,34005,Truck,2497.8671,13121043.53,in
2621,34005,Rail,216960,428989926,in
2631,34005,Rail,48600,34993112.1,in
2642,34005,Truck,4229.048348,9193747.608,in
2643,34005,Truck,5177.009298,6874333.498,in
2644,34005,Truck,8272.773059,17657285.16,in
2645,34005,Truck,1562.078914,2737429.215,in
2646,34005,Truck,128.0537553,295167.3465,in
2647,34005,Truck,4647.389239,11294767.34,in
2649,34005,Truck,7891.018388,16189455.1,in
2651,34005,Truck,35916.01385,63721742.21,in
2654,34005,Truck,3538.480231,6052631.499,in
2661,34005,Truck,824.2057374,346890.2412,in
2700,34005,Air,43.4078548,938154.478,in
2711,34005,Truck,51766.81894,90703220.03,in
2721,34005,Truck,17926.29513,51425923.95,in
2731,34005,Truck,1631.140795,10634357.17,in
2741,34005,Truck,20978.09029,107164658,in
2761,34005,Truck,741.9119194,4888416.776,in
2771,34005,Truck,4805.1438,34090165.44,in
2781,34005,Truck,664.5617533,3569795.37,in
2791,34005,Truck,1084.911203,8070046.241,in
2812,34005,Truck,59052.70248,17403499.11,in
2815,34005,Rail,3720,4427491,in
2815,34005,Truck,45015.59092,45310255.62,in
2818,34005,Truck,302814.0312,295133853,in
2819,34005,Truck,27771.39406,47406926.19,in
2821,34005,Rail,38360,83067369,in
2831,34005,Air,4.9513805,1527878.19,in
2831,34005,Truck,16765.20617,305875000.5,in
2841,34005,Truck,21434.33125,36472932.46,in
2842,34005,Truck,14615.82972,24743849.15,in
2843,34005,Rail,13760,30462420,in
2844,34005,Truck,24375.75918,97701876.17,in
2851,34005,Truck,11413.9128,31584333.62,in
2861,34005,Truck,1570.011251,3795985.221,in
2871,34005,Truck,35630.69006,11777748.24,in
2879,34005,Truck,3813.835176,13198782.45,in
2891,34005,Truck,6601.294965,16103168.94,in
2892,34005,Truck,4001.74731,4714040.043,in
2893,34005,Truck,2869.963739,13889243.15,in
2899,34005,Truck,11090.78345,35751160.67,in
2911,34005,Truck,1119187.495,1022425377,in
2912,34005,Truck,164175.4086,133362330.3,in
2951,34005,Truck,254789.37,23812453.12,in
2952,34005,Truck,49208.18655,14437493.87,in
3000,34005,Air,440.9339408,13376775.98,in
3011,34005,Truck,6583.151009,36805464.55,in
3021,34005,Truck,748.3028734,14998545.2,in
3031,34005,Truck,4412.789811,9496222.429,in
3041,34005,Truck,821.9025452,3430200.656,in
3061,34005,Truck,4096.834064,31205887.06,in
3071,34005,Truck,22779.16343,80782233.1,in
3072,34005,Truck,59851.56486,195867809.9,in
3121,34005,Truck,102.4753975,517191.2311,in
3131,34005,Truck,29.0219612,365539.761,in
3141,34005,Truck,1550.673248,34505346.4,in
3142,34005,Truck,7.67244615,3349.5032,in
3151,34005,Truck,41.26926498,537441.4875,in
3161,34005,Truck,1032.762176,12079390.22,in
3199,34005,Truck,310.9331653,2427618.034,in
3211,34005,Truck,47283.75586,9628915.337,in
3221,34005,Truck,9233.33068,6069406.535,in
3229,34005,Truck,3649.826401,12325855.86,in
3241,34005,Truck,61730.8102,5454751.434,in
3251,34005,Rail,3000,1609745.4,in
3251,34005,Truck,1274.802131,705364.5037,in
3253,34005,Truck,6336.435112,3305608.042,in
3255,34005,Truck,2308.68652,1480835,in
3259,34005,Truck,751.0462833,493824.0225,in
3261,34005,Truck,1010.736428,1872879.184,in
3262,34005,Truck,1164.301532,6684609.731,in
3264,34005,Truck,380.3080107,2443702.893,in
3269,34005,Truck,3091.002021,10313459.47,in
3271,34005,Truck,226106.2457,31435281.97,in
3273,34005,Truck,209783.94,14466862.16,in
3274,34005,Truck,4408.083523,936142.8638,in
3275,34005,Truck,10979.4449,2281056.482,in
3281,34005,Truck,74520.92445,10392778.45,in
3291,34005,Truck,2524.490307,7660393.896,in
3292,34005,Truck,144.1029786,23457.819,in
3293,34005,Truck,1172.985022,6220182.099,in
3295,34005,Truck,10683.42835,901457.9577,in
3296,34005,Truck,25011.09929,4342812.086,in
3299,34005,Truck,1518.143268,1000857.085,in
3311,34005,Rail,3920,4924995,in
3311,34005,Truck,3163.981668,3534987.779,in
3312,34005,Rail,22760,35108022.5,in
3312,34005,Truck,43987.93764,59894721.85,in
3313,34005,Truck,2570.217543,2717495.505,in
3315,34005,Truck,3944.593679,15267608.86,in
3321,34005,Truck,4503.138959,11068494.35,in
3331,34005,Truck,655.9016098,3311277.328,in
3333,34005,Truck,983.8253332,1534767.517,in
3339,34005,Truck,670.2427105,66354028.31,in
3351,34005,Truck,2249.4499,8152659.272,in
3352,34005,Truck,27042.85485,56247507.3,in
3356,34005,Truck,7129.67816,18276826.28,in
3357,34005,Truck,2020.819773,7698170.602,in
3361,34005,Truck,7195.119348,12676920.39,in
3362,34005,Truck,126.8579021,383140.9072,in
3369,34005,Truck,1454.492155,3451984.282,in
3391,34005,Truck,4542.208321,9013435.262,in
3392,34005,Truck,2270.4612,3614164.1,in
3399,34005,Truck,16169.54305,34572509.11,in
3400,34005,Air,0.57564545,16102.673,in
3411,34005,Truck,2431.969762,6950247.295,in
3421,34005,Truck,494.3020044,6870187.909,in
