year,domestic,import,export,swt_export,swt_import,foreign_val,us_foreign,us_export,nation_tot,port_rank,cont_teu
2003,36593181,58914071,1875073,1640901,65972931,19298289217,810990000000,363466316,2525970293,6,186147
2004,38980911,61343693,1559278,1620273,68618286,25628095706,958606000000,386969057,2683322550,6,184601
2005,41484923,61780578,1866248,1839174,70218360,33348062886,1122260000000,391744256,2631429240,5,225974
2006,42474939,66372161,2778554,2744776,68903844,39739788274,1278690000000,419046149,2681105402,5,271741
2007,43161540,64200769,3158290,3504851,66450930,43100526529,1398650000000,469631707,2683767621,5,290359
2008,39123361,61490347,4281014,4503291,62997362,55793306954,1623810000000,533955135,2580754491,5,365039
2009,33289047,57138730,4654733,4429478,52804514,30935266297,1162410000000,498313404,2313959793,5,381339
2010,31862969,47696459,2920645,3116574,52122201,37137129097,1434000000000,575284130,2446385498,6,299962
2011,26976867,44831308,4653907,4698873,46659475,47148159929,1730670000000,632101932,2494863479,6,346869
2012,23406541,33327691,3912461,4167914,35809842,39817391304,1781520000000,631821896,2462799853,7,363268
2013,27369718,33914728,5238390,6147141,29583838,36890288030,1746990000000,644949519,2463198954,6,360307
2014,27129726,26695269,4753328,5297086,24144478,33624748725,1752270000000,676463986,2590170884,8,414311
2015,32267622,30251240,4701417,5360713,24574495,28953664890,1562680000000,655293027,2529992031,7,457574
2016,30784519,31751088,6172950,6797194,26329584,27443216090,1473240000000,672088709,2523196031,6,477144
2017,26223690,40008232,5966796,6990598,30097307,32598968106,1601740000000,775027918,2625848551,7,509174
2018,24007208,37216335,4879126,5761099,27361000,34278044245,1759980000000,862632262,2668507346,8,615641
2019,26572360,28872095,7343470,9069451,24461065,34866544600,1702220000000,875051400,2619129228,7,null
2020,19972863,21104965,7694257,10306712,20487527,31735755190,1506290000000,875544624,2530330203,9,null
