link_id,year,calls
PT1,2003,9
PT10,2003,13
PT11,2003,135
PT12,2003,132
PT13,2003,13
PT14,2003,90
PT15,2003,20
PT16,2003,44
PT17,2003,83
PT18,2003,55
PT19,2003,130
PT2,2003,49
PT20,2003,187
PT21,2003,211
PT22,2003,213
PT23,2003,31
PT25,2003,52
PT26,2003,86
PT27,2003,34
PT28,2003,54
PT29,2003,57
PT3,2003,51
PT30,2003,18
PT33,2003,0
PT34,2003,57
PT4,2003,7
PT5,2003,137
PT6,2003,134
PT8,2003,140
PT9,2003,27
PT35,2003,0
PT1,2004,12
PT10,2004,13
PT11,2004,113
PT12,2004,129
PT13,2004,28
PT14,2004,58
PT15,2004,22
PT16,2004,86
PT17,2004,78
PT18,2004,55
PT19,2004,145
PT2,2004,49
PT20,2004,160
PT21,2004,223
PT22,2004,266
PT23,2004,29
PT25,2004,44
PT26,2004,86
PT27,2004,53
PT28,2004,49
PT29,2004,67
PT3,2004,55
PT30,2004,26
PT33,2004,0
PT34,2004,51
PT4,2004,9
PT5,2004,154
PT6,2004,151
PT8,2004,137
PT9,2004,27
PT35,2004,0
PT1,2005,11
PT10,2005,15
PT11,2005,112
PT12,2005,120
PT13,2005,28
PT14,2005,38
PT15,2005,26
PT16,2005,82
PT17,2005,80
PT18,2005,55
PT19,2005,134
PT2,2005,59
PT20,2005,182
PT21,2005,251
PT22,2005,266
PT23,2005,32
PT25,2005,27
PT26,2005,86
PT27,2005,32
PT28,2005,55
PT29,2005,60
PT3,2005,55
PT30,2005,28
PT33,2005,0
PT34,2005,48
PT4,2005,9
PT5,2005,169
PT6,2005,148
PT8,2005,167
PT9,2005,42
PT35,2005,0
PT1,2006,13
PT10,2006,14
PT11,2006,85
PT12,2006,151
PT13,2006,22
PT14,2006,60
PT15,2006,23
PT16,2006,94
PT17,2006,95
PT18,2006,55
PT19,2006,154
PT2,2006,58
PT20,2006,187
PT21,2006,363
PT22,2006,253
PT23,2006,34
PT25,2006,39
PT26,2006,86
PT27,2006,16
PT28,2006,42
PT29,2006,68
PT3,2006,58
PT30,2006,30
PT33,2006,0
PT34,2006,56
PT4,2006,9
PT5,2006,189
PT6,2006,180
PT8,2006,166
PT9,2006,40
PT35,2006,0
PT1,2007,9
PT10,2007,12
PT11,2007,113
PT12,2007,168
PT13,2007,12
PT14,2007,50
PT15,2007,22
PT16,2007,65
PT17,2007,55
PT18,2007,55
PT19,2007,117
PT2,2007,50
PT20,2007,166
PT21,2007,309
PT22,2007,224
PT23,2007,30
PT25,2007,27
PT26,2007,86
PT27,2007,15
PT28,2007,44
PT29,2007,75
PT3,2007,47
PT30,2007,32
PT33,2007,0
PT34,2007,34
PT4,2007,9
PT5,2007,181
PT6,2007,180
PT8,2007,185
PT9,2007,38
PT35,2007,0
PT1,2008,8
PT10,2008,14
PT11,2008,110
PT12,2008,170
PT13,2008,13
PT14,2008,32
PT15,2008,16
PT16,2008,70
PT17,2008,85
PT18,2008,55
PT19,2008,93
PT2,2008,47
PT20,2008,147
PT21,2008,275
PT22,2008,215
PT23,2008,13
PT25,2008,53
PT26,2008,86
PT27,2008,34
PT28,2008,40
PT29,2008,77
PT3,2008,29
PT30,2008,38
PT33,2008,0
PT34,2008,19
PT4,2008,7
PT5,2008,193
PT6,2008,166
PT8,2008,180
PT9,2008,33
PT35,2008,0
PT1,2009,8
PT10,2009,9
PT11,2009,109
PT12,2009,114
PT13,2009,18
PT14,2009,35
PT15,2009,5
PT16,2009,35
PT17,2009,94
PT18,2009,55
PT19,2009,82
PT2,2009,50
PT20,2009,126
PT21,2009,244
PT22,2009,122
PT23,2009,16
PT25,2009,54
PT26,2009,86
PT27,2009,20
PT28,2009,36
PT29,2009,81
PT3,2009,40
PT30,2009,31
PT33,2009,0
PT34,2009,22
PT4,2009,5
PT5,2009,113
PT6,2009,177
PT8,2009,168
PT9,2009,22
PT35,2009,0
PT1,2010,10
PT10,2010,13
PT11,2010,116
PT12,2010,86
PT13,2010,14
PT14,2010,44
PT15,2010,0
PT16,2010,42
PT17,2010,109
PT18,2010,55
PT19,2010,62
PT2,2010,45
PT20,2010,150
PT21,2010,297
PT22,2010,106
PT23,2010,18
PT25,2010,52
PT26,2010,86
PT27,2010,17
PT28,2010,44
PT29,2010,63
PT3,2010,29
PT30,2010,28
PT33,2010,0
PT34,2010,21
PT4,2010,5
PT5,2010,0
PT6,2010,151
PT8,2010,125
PT9,2010,33
PT35,2010,0
PT1,2011,8
PT10,2011,8
PT11,2011,74
PT12,2011,107
PT13,2011,11
PT14,2011,43
PT15,2011,0
PT16,2011,50
PT17,2011,105
PT18,2011,55
PT19,2011,64
PT2,2011,50
PT20,2011,202
PT21,2011,403
PT22,2011,109
PT23,2011,19
PT25,2011,54
PT26,2011,86
PT27,2011,7
PT28,2011,36
PT29,2011,51
PT3,2011,41
PT30,2011,29
PT33,2011,0
PT34,2011,27
PT4,2011,3
PT5,2011,17
PT6,2011,136
PT8,2011,99
PT9,2011,24
PT35,2011,0
PT1,2012,8
PT10,2012,8
PT11,2012,19
PT12,2012,128
PT13,2012,12
PT14,2012,46
PT15,2012,0
PT16,2012,80
PT17,2012,55
PT18,2012,55
PT19,2012,66
PT2,2012,33
PT20,2012,205
PT21,2012,394
PT22,2012,125
PT23,2012,21
PT25,2012,52
PT26,2012,86
PT27,2012,5
PT28,2012,35
PT29,2012,53
PT3,2012,50
PT30,2012,30
PT33,2012,0
PT34,2012,19
PT4,2012,1
PT5,2012,39
PT6,2012,129
PT8,2012,26
PT9,2012,3
PT35,2012,0
PT1,2013,10
PT10,2013,10
PT11,2013,69
PT12,2013,150
PT13,2013,14
PT14,2013,51
PT15,2013,0
PT16,2013,58
PT17,2013,52
PT18,2013,55
PT19,2013,70
PT2,2013,24
PT20,2013,226
PT21,2013,432
PT22,2013,125
PT23,2013,23
PT25,2013,52
PT26,2013,86
PT27,2013,5
PT28,2013,38
PT29,2013,47
PT3,2013,51
