port_link,port_typ,port_name,dir,lon,lat
PT1,b,Riverside,l,-74.870932990000000,40.058326500000000
PT10,b,National Gypsum,r,-74.863137100000003,40.040423449999999
PT11,b,Monroe (Trainer),r,-75.325133309999998,39.849213679999998
PT12,b,PBF Paulsboro,r,-75.233456970000006,39.850830629999997
PT13,g,Pier 84,l,-75.055055560000000,39.949837799999997
PT14,g,Phila. Forest Products [78/80],l,-75.041935629999998,39.968493240000001
PT15,g,Phila. Forest Products [38/40],l,-75.029926300048828,39.983433932953218
PT16,g,Port of Bucks,r,-74.818572149999994,40.092609340000003
PT17,g,Tioga Marine Terminal,l,-74.959730140000005,40.021205199999997
PT18,g,Petty's Island,r,-74.982201680000003,39.988284260000000
PT19,g,Balzano Marine Terminal,r,-75.005428030000004,39.966307319999999
PT2,b,Buckeye Pennsauken,r,-74.920180230000000,40.013924150000001
PT20,g,Gloucester Marine Terminal,r,-75.062281020000000,39.899676079999999
PT21,g,Packer Ave Marine Terminal,l,-75.096887190000004,39.918199360000003
PT22,g,Penn Terminals,l,-75.263262999999995,39.877208050000000
PT23,g,Broadway Terminal,r,-75.033189019999995,39.927386220000002
PT25,g,Pier 82,l,-75.048970949999998,39.958291680000002
PT26,b,Mercer Co. Generating Station,r,-74.813129279999998,40.121895209999998
PT27,b,Hog Island,l,-75.217628489999996,39.896029169999998
PT28,b,Pier H Port Richmond,l,-74.989012279999997,40.008390020000000
PT29,b,CPI Operations,r,-75.187205480000003,39.872684370000002
PT3,b,Kinder Morgan Liquid Term.,l,-74.974371210000001,40.014652290000001
PT30,b,Fairless Hills Marine Terminal,l,-74.825250949999997,40.082880950000003
PT33,g,Pier 96,l,-75.063992310000003,39.939633450000002
PT34,b,Plains Products Terminal,r,-75.222382080000003,39.856630220000000
PT35,b,Eddystone Rail-to-Barge,l,-75.241016169999995,39.887129899999998
PT4,b,Georgia Pacific,r,-75.015885940000004,39.953773349999999
PT5,b,Eagle Point,r,-75.088520860000003,39.889464250000003
PT6,b,Fort Mifflin,l,-75.204508570000002,39.900551309999997
PT8,b,Marcus Hook,r,-75.342451609999998,39.841120089999997
PT9,b,Girard Point,r,-75.173324989999998,39.924615709999998
PT37,b,Pier 122,l,-75.117134932021457,39.913955400934434
PT38,b,Pier 124,l,-75.130620814296677,39.912320748537439
PT39,b,PBF South Philadelphia,l,-75.197641562573551,39.927441283209667
