stcc,name
100,Farm products
112,Raw cotton
113,Grain
114,"Oil from kernels, nuts or seeds"
115,Field seeds
119,Misc. field crops
121,Citrus fruits
122,Deciduous fruits
123,Tropical fruits
129,Misc. fresh fruits or tree nuts
131,"Bulbs, roots or tubers"
133,Leafy fresh vegetables
134,Dry ripe vegetable seeds
139,Misc. fresh vegetables
140,Livestock or livestock products
141,Livestock
142,Dairy products
151,Live poultry
152,Poultry eggs
191,Horticultural specialties
192,Animal specialties
199,"Farm products, n.e.c."
842,Crude barks or gums
861,Misc. forest products
900,Fresh fish or marine products
912,Fresh fish or whale products
913,Marine products
1011,Iron ores
1021,Copper ores
1041,Gold ore
1051,Bauxite or other alum ores
1061,Manganese ores
1071,Tungsten ores
1081,Chromium ores
1092,Misc. metal ores
1111,Anthracite
1121,Bituminous coal
1311,Crude petroleum
1400,Nonmetallic minerals
1411,"Dimension stone,quarry"
1421,Broken stone or riprap
1441,Gravel or sand
1451,Clay ceramic or refrac minerals
1471,Crude chemical or fertilizer minerals
1491,"Misc. nonmetallic minerals, n.e.c."
1492,Water
1900,Ordnance or accessories
1911,"Guns, howitzers, mortars, etc."
1929,"Ammo or related parts, n.e.c."
1931,Tracked combat vehicle or parts
1951,"Small arms, 30mm or less"
1961,"Small arms ammo, 30mm or less"
2000,Food or kindred products
2010,"Meat or poultry, fresh or chilled"
2011,"Meat, fresh or chilled"
2012,"Meat, fresh frozen"
2013,Meat products
2014,"Animal by-product, inedible"
2015,"Dressed poultry, fresh"
2016,"Dressed poultry, frozen"
2017,Processed poultry or eggs
2021,Creamery butter
2023,"Condensed, evaporated or dry milk"
2024,Ice cream or related frozen desserts
2025,Cheese or special dairy products
2026,Processed milk
2031,Canned or cured sea foods
2032,Canned specialties
2033,"Canned fruits, vegetables, etc."
2034,Dehydrated or dried fruits or vegetables
2035,Pickled fruits or vegetables
2036,Processed fish products
2037,"Frozen fruits, vegetables or juice"
2038,Frozen specialties
2039,"Canned or preserved food, mixed"
2041,Flour or other grain mill products
2042,Prepared or canned feed
2043,Cereal preparations
2044,"Milled rice, flour or meal"
2045,Blended or prepared flour
2046,Wet corn milling or milo
2047,"Dog, cat or other pet food, n.e.c."
2051,Bread or other bakery products
2052,"Biscuits, crackers or pretzles"
2061,Sugar mill product or by-products
2062,"Sugar, refined, cane or beet"
2071,Candy or other confectionery
2082,Malt liquors
2083,Malt
2084,"Wine, brandy or brandy spirit"
2085,Distilled or blended liquors
2086,Soft drinks or mineral water
2087,Misc. flavoring extracts
2091,Cottonseed oil or by-products
2092,Soybean oil or by-products
2093,Nut or vegetable oils or by-products
2094,Marine fats or oils
2095,Roasted or instant coffee
2096,"Margarine, shortening, etc."
2097,"Ice, natural or manufactured"
2098,"Macaroni, spaghetti, etc."
2099,"Misc. food preparations, n.e.c."
2111,Cigarettes
2121,Cigars
2131,Chewing or smoking tobacco
2141,Stemmed or redried tobacco
2200,Textile mill products
2211,Cotton broad-woven fabrics
2221,Man-made or glass woven fiber
2222,Silk-woven fabrics
2231,Wool broad-woven fabrics
2241,Narrow fabrics
2251,Knit fabrics
2271,"Woven carpets, mats or rugs"
2272,"Tufted carpets, rugs or mats"
2279,"Carpets, mats or rugs, nec"
2281,Yarn
2284,Thread
2291,Felt goods
2292,Lace goods
2293,"Paddings, upholstery fill, etc."
2294,"Textile waste, processed"
2295,Coated or imprinted fabric
2296,"Cord or fabrics, industrial"
2297,Wool or mohair
2298,Cordage or twine
2299,"Textile goods, n.e.c."
2311,Mens or boys clothing
2331,Womens or childrens clothing
2351,Millinery
2352,Caps or hats or hat bodies
2371,Fur goods
2381,"Gloves, mittens or linings"
2384,Robes or dressing gowns
2385,Raincoats or other rain wear
2386,Leather clothing
2387,Apparel belts
2389,"Apparel, n.e.c."
2391,Curtains or draperies
2392,Textile house furnishings
2393,Textile bags
2394,Canvas products
2395,"Textile products, pleated, etc."
2396,Apparel findings
2399,Misc. fabricated textile products
2400,Lumber or wood products
2411,Primary forest materials
2421,Lumber or dimension stock
2429,Misc. sawmill or planing mill
2431,Millwork or cabinetwork
2432,Plywood or veneer
2433,Prefabricated wood buildings
2434,"Kitchen cabinets, wood"
2439,"Structural wood products, n.e.c."
2441,Wood containers or box shooks
2491,Treated wood products
2492,Rattan or bamboo ware
2493,Lasts or related products
2494,Cork products
2495,Hand tool handles
2496,Scaffolding equipment or ladders
2497,Wooden ware or flatware
2498,"Wood products, n.e.c."
2499,Misc. wood products
2500,Furniture or fixtures
2511,"Benches, chairs, stools"
2512,Tables or desks
2513,"Sofas, couches, etc."
2514,"Buffets, china closets, etc."
2515,Bedsprings or mattresses
2516,"Beds, dressers, chests, etc."
2517,Cabinets or cases
2518,Childrens furniture
2519,"Household or office furniture, n.e.c."
2531,Public building or related furniture
2541,"Wood lockers, partitions, etc."
2542,"Metal lockers, partitions, etc."
2591,"Venetian blinds, shades, etc."
2599,"Furniture or fixtures, n.e.c."
2600,"Pulp, paper or allied products"
2611,Pulp or pulp mill products
2621,Paper
2631,"Fiber, paper or pulpboard"
2642,Envelopes
2643,Paper bags
2644,Wallpaper
2645,Die-cut paper or pulpboard products
2646,Pressed or molded pulp goods
2647,Sanitary paper products
2649,Misc. converted paper products
2651,"Containers or boxes, paper"
2654,Sanitary food containers
2655,"Fibre cans, drums or tubes"
2661,Paper or building board
2700,Printed matter
2711,Newspapers
2721,Periodicals
2731,Books
2741,Misc. printed matter
2761,Manifold business forms
2771,"Greeting cards, seals, etc."
2781,"Blankbook, loose leaf binder"
2791,Svc indus for print trades
2800,Chemicals or allied products
2810,Industrial chemicals
2812,Potassium or sodium compound
2813,Industrial gases
2814,"Crude prod of coal, gas, petroleum"
2815,Cyclic intermediates or dyes
2816,Inorganic pigments
2818,Misc. industrial organic chemicals
2819,Misc. industrial organic chemicals
2821,Plastic matter or synthetic fibers
2831,Drugs
2841,Soap or other detergents
2842,Specialty cleaning preparations
2843,Surface active agents
2844,"Cosmetics, perfumes, etc."
2851,"Paints, lacquers, etc."
2861,Gum or wood chemicals
2871,Fertilizers
