PFF_ID,SHIELD,HWY_NUM,STATE,NAME,TYPE,OWNER,SECTION_MI,SHIELD_ID,DIR_1,CAP_1,ACT_1A,ACT_1B,DEVICE_1,DIR_2,CAP_2,ACT_2A,ACT_2B,DEVICE_2,YEAR,SOURCE,SHLD_ID,GIS_MILES
HWY25,T,476,PA,I 476 (Pennsylvania Turnpike Northeast Extension),Interstate Highway,Pennsylvania Turnpike Commission,15.205599,476,NB,2,n/a,n/a,,SB,2,n/a,n/a,,0,,476,30.406486
HWY26,T,476,PA,I 476 (Pennsylvania Turnpike Northeast Extension),Interstate Highway,Pennsylvania Turnpike Commission,16.071431,476,NB,2,n/a,n/a,,SB,2,n/a,n/a,,0,,476,21.729747
HWY27,I,476,PA,I 476,Interstate Highway,PennDOT,3.828654,476,NB,3,n/a,n/a,,SB,3,n/a,n/a,,0,,476,7.661902
HWY30,I,476,PA,I 476,Interstate Highway,PennDOT,10.990555,476,NB,3,n/a,n/a,,SB,3,n/a,n/a,,0,,476,21.981848
HWY13,T,276,PA,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,7.713531,276,WB,3,n/a,n/a,,EB,3,n/a,n/a,,0,,276,15.433671
HWY5,I,195,NJ,I 195,Interstate Highway,NJDOT,8.683189,195,WB,2,n/a,n/a,00195B,EB,2,3440,9.9%,00195B,2011,NJ DOT WiM,195,17.367414
HWY33,I,676,NJ,I 676,Interstate Highway,NJDOT,4.807277,676,NB,4,n/a,n/a,,SB,3,n/a,n/a,,0,,676,9.47842
HWY34,I,676,PA,I 676 (Vine Street Expressway),Interstate Highway,PennDOT,2.264071,676,WB,3,n/a,n/a,,EB,3,n/a,n/a,,0,,676,6.527936
HWY35,I,76,NJ,I 76,Interstate Highway,DRPA,1.924852,76,WB,3,n/a,n/a,,EB,3,n/a,n/a,,0,,76,9.003573
HWY12,T,276,PA,I 276 (Pennsylvania Turnpike),Interstate Highway,Pennsylvania Turnpike Commission,7.390264,276,WB,2,n/a,n/a,,EB,2,n/a,n/a,,0,,276,14.781328
HWY43,I,95,PA,I 95,Interstate Highway,PennDOT,3.195207,95,NB,4,n/a,n/a,,SB,4,n/a,n/a,,0,,95,7.09555
HWY44,I,95,PA,I 95,Interstate Highway,PennDOT,11.802435,95,NB,3,n/a,n/a,,SB,3,n/a,n/a,,0,,95,23.791894
HWY45,I,95,PA,I 95,Interstate Highway,PennDOT,6.724165,95,NB,3,n/a,n/a,,SB,3,n/a,n/a,,0,,95,13.263495
HWY46,I,95,PA,I 95,Interstate Highway,PennDOT,4.56017,95,NB,4,n/a,n/a,,SB,4,n/a,n/a,,0,,95,10.866817
HWY47,I,95,PA,I 95,Interstate Highway,PennDOT,8.413432,95,NB,3,n/a,n/a,,SB,3,n/a,n/a,,0,,95,16.824221
