PFF_ID,FRA_ID,RAIL_ID,NAME,OWNER,OPERATOR,TOWNSHIP,TRACKS,LAT,LONG_,ACT,STREET_1,RAIL_LINE,TOTALSWT,TOTALTRN,SOURCE_1
140647H,140647H,RL25,Ashland Avenue (USDOT Crossing No. 140647H),CSX,"CSX, Norfolk Southern",Glenolden Borough,1,39.9034,-75.2903,n/a,Ashland Avenue,Philadelphia Subdivision,1,34,2012 DVRPC
140641S,140641S,RL25,Main Street (USDOT Crossing No. 140641S),CSX,"CSX, Norfolk Southern",Darby Borough,1,39.9178,-75.2557,n/a,Main Street,Philadelphia Subdivision,1,34,2012 DVRPC
140670C,140670C,RL25,Meetinghouse Road (USDOT Crossing No. 140670C),CSX,"CSX, Norfolk Southern",Upper Chichester Township,2,39.838963,-75.430629,n/a,Meetinghouse Road,Philadelphia Subdivision,3,38,2012 DVRPC
140650R,140650R,RL25,Amosland Road (USDOT Crossing No. 140650R),CSX,"CSX, Norfolk Southern",Prospect Park Borough,1,39.8962,-75.3065,n/a,Amosland Avenue,Philadelphia Subdivision,1,34,2012 DVRPC
589735M,589735M,RL42,Heacock Road (USDOT Crossing No. 589735M),CSX,"CSX, SEPTA",Lower Makefield Township,2,40.210985,-74.866033,n/a,Heacock Road,Trenton Subdivision,0,26,2012 DVRPC
589327C,589327C,RL12,Hanover Street (USDOT Crossing No. 589327C),Norfolk Southern,"CSX, Norfolk Southern",Pottstown Borough,2,40.2447,-75.6507,n/a,Hanover Street,Harrisburg Line,0,13,2012 DVRPC
140672R,140672R,RL25,Naamens Creek Road (USDOT Crossing No. 140672R),CSX,"CSX, Norfolk Southern",Upper Chichester Township,1,39.8282,-75.4535,n/a,Naamans Creek Road,Philadelphia Subdivision,4,28,2012 DVRPC
140649W,140649W,RL25,South Avenue (USDOT Crossing No. 140649W),CSX,"CSX, Norfolk Southern",Glenolden Borough,1,39.8989,-75.3005,n/a,South Avenue,Philadelphia Subdivision,1,34,2012 DVRPC
589737B,589737B,RL42,Edgewood Road (USDOT Crossing No. 589737B),CSX,"CSX, SEPTA",Lower Makefield Township,2,40.224871,-74.84646,n/a,Edgewood Road,Trenton Subdivision,0,27,2012 DVRPC
588602S,588602S,RL12,Main Street (USDOT Crossing No. 588602S),Norfolk Southern,"CSX, Norfolk Southern",Royersford Borough,2,40.1831,-75.5431,n/a,Main Street,Harrisburg Line,0,13,2012 DVRPC
