ID,TYPE,COUNTY,PFF_ID
0,Hazardous Liquid,Montgomery,PS62
0,Gas Transmission,Chester,PS63
0,Gas Transmission,Montgomery,PS64
0,Gas Transmission,Montgomery,PS65
0,Gas Transmission,Montgomery,PS66
0,Hazardous Liquid,Camden,PS29
0,Hazardous Liquid,Chester,PS61
0,Hazardous Liquid,Bucks,PS1
0,Gas Transmission,Bucks,PS2
0,Gas Transmission,Bucks,PS3
0,Gas Transmission,Bucks,PS4
0,Gas Transmission,Bucks,PS5
0,Hazardous Liquid,Bucks,PS6
0,Gas Transmission,Bucks,PS7
0,Hazardous Liquid,Bucks,PS8
0,Gas Transmission,Bucks,PS9
0,Gas Transmission,Bucks,PS10
0,Gas Transmission,Bucks,PS11
0,Gas Transmission,Bucks,PS12
0,Hazardous Liquid,Mercer,PS13
0,Gas Transmission,Mercer,PS14
0,Gas Transmission,Mercer,PS15
0,Gas Transmission,Mercer,PS16
0,Gas Transmission,Mercer,PS17
0,Gas Transmission,Mercer,PS18
0,Gas Transmission,Mercer,PS19
0,Hazardous Liquid,Mercer,PS20
0,Hazardous Liquid,Mercer,PS21
0,Hazardous Liquid,Mercer,PS22
0,Hazardous Liquid,Burlington,PS23
0,Hazardous Liquid,Bulington,PS24
0,Hazardous Liquid,Bulington,PS25
0,Gas Transmission,Burlington,PS26
0,Hazardous Liquid,Burlington,PS27
0,Gas Transmission,Camden,PS28
0,Hazardous Liquid,Camden,PS30
0,Gas Transmission,Burlington,PS31
0,Gas Transmission,Camden,PS32
0,Gas Transmission,Camden,PS33
0,Gas Transmission,Camden,PS34
0,Gas Transmission,Camden,PS35
0,Gas Transmission,Philadelphia,PS36
0,Hazardous Liquid,Camden,PS37
0,Hazardous Liquid,Gloucester,PS38
0,Gas Transmission,Gloucester,PS39
0,Hazardous Liquid,Gloucester,PS40
0,Hazardous Liquid,Gloucester,PS41
0,Hazardous Liquid,Gloucester,PS42
0,Gas Transmission,Delaware,PS43
0,Hazardous Liquid,Delaware,PS44
0,Hazardous Liquid,Delaware,PS45
0,Hazardous Liquid,Delaware,PS46
0,Hazardous Liquid,Delaware,PS47
0,Hazardous Liquid,Delaware,PS48
0,Hazardous Liquid,Delaware,PS49
0,Hazardous LIquid,Delaware,PS50
0,Hazardous Liquid,Delaware,PS51
0,Hazardous Liquid,Delaware,PS52
0,Gas Transmission,Delaware,PS53
0,Gas Transmission,Philadelphia,PS54
0,Hazardous Liquid,Philadelphia,PS55
0,Hazardous Liquid,Philadelphia,PS56
0,Hazardous Liquid,Philadelphia,PS57
0,Hazardous Liquid,Chester,PS58
0,Hazardous Liquid,Montgomery,PS59
0,Hazardous Liquid,Philadelphia,PS60
