PFF_ID,NAME,TOWNSHIPS,START_,END,LENGTH,WIDTH,DEPTH,CLEARANCE,SOURCE,WEB_ID,DVRPC_ST
RV46,Chester Range,"Chester City, Logan Township",0,75.1,1.82,800,40,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",46,NJ/PA
RV47,Schuylkill River,Philadlephia City,0,0,5.76,0,33,135,"2012 NOAA Nautical Charts, 2012 DVRPC",47,PA
RV28,Torresdale Range,"Philadelphia City, Cinnaminson Township, Delran Township",0,98.92,1.39,400,40,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",28,NJ/PA
RV1,Marcus Hook Range,"Marcus Hook Borough, Trainer Borough, Chester City, Logan Township",0,73.28,1.98,800,40,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",1,NJ/PA
RV2,Trenton Channel,"Falls Township, Morrisville Borough, Trenton City",0,118.49,1.07,200,12,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",2,NJ/PA
RV3,Moon Channel,"Falls Township, Trenton City",0,117.42,0.39,500,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",3,NJ/PA
RV4,Cochran Channel,"Falls Township, Trenton City",0,117.03,0.31,300,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",4,NJ/PA
RV5,Biles Island Channel,"Falls Township, Hamilton Township",0,116.72,0.38,300,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",5,NJ/PA
RV6,Perriwig Channel,"Falls Township, Hamilton Township",0,116.34,0.24,400,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",6,NJ/PA
RV7,Duck Island Range,"Falls Township, Hamilton Township",0,116.1,1.25,300,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",7,NJ/PA
RV8,Bordentown Range,"Falls Township, Bordentown Borough, Hamilton Township",0,114.85,0.65,300,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",8,NJ/PA
RV9,Raritan Range,"Falls Township, Bordentown Borough, Bordentown Township",0,114.2,0.24,400,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",9,NJ/PA
RV10,Whitehill Range,"Falls Township, Fieldsboro Borough, Bordentown  Township",0,113.96,1.03,300,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",10,NJ/PA
RV11,Blake Channel,"Falls Township, Bordentown  Township",0,112.93,0.17,400,25,no limit,"2012 NOAA Nautical Charts, 2012 DVRPC",11,NJ/PA
